image_paths,labels,label_names
004705.jpg,58,['Chevrolet Traverse SUV 2012']
010866.jpg,132,['Hyundai Tucson SUV 2012']
005947.jpg,74,['Chevrolet Silverado 1500 Extended Cab 2012']
010899.jpg,132,['Hyundai Tucson SUV 2012']
015936.jpg,194,['Volvo 240 Sedan 1993']
004478.jpg,56,['Chevrolet Corvette ZR1 2012']
015136.jpg,184,['Suzuki SX4 Sedan 2012']
006717.jpg,83,['Dodge Caliber Wagon 2012']
002900.jpg,36,['BMW M6 Convertible 2010']
002459.jpg,31,['BMW 6 Series Convertible 2007']
010157.jpg,123,['Geo Metro Convertible 1993']
000582.jpg,8,['Aston Martin V8 Vantage Convertible 2012']
006002.jpg,74,['Chevrolet Silverado 1500 Extended Cab 2012']
010684.jpg,130,['Hyundai Veloster Hatchback 2012']
014574.jpg,177,['Rolls-Royce Phantom Sedan 2012']
001469.jpg,19,['Audi TT Hatchback 2011']
015688.jpg,191,['Volkswagen Golf Hatchback 1991']
005128.jpg,63,['Chevrolet Sonic Sedan 2012']
012447.jpg,152,['Lamborghini Gallardo LP 570-4 Superleggera 2012']
007036.jpg,86,['Dodge Ram Pickup 3500 Crew Cab 2010']
008112.jpg,100,['FIAT 500 Convertible 2012']
001139.jpg,15,['Audi R8 Coupe 2012']
000242.jpg,4,['Acura TL Type-S 2008']
014703.jpg,179,['Spyker C8 Convertible 2009']
015076.jpg,183,['Suzuki SX4 Hatchback 2012']
012680.jpg,154,['Land Rover Range Rover SUV 2012']
008277.jpg,102,['Ferrari California Convertible 2012']
012541.jpg,153,['Lamborghini Diablo Coupe 2001']
002733.jpg,34,['BMW M3 Coupe 2012']
002566.jpg,32,['BMW X5 SUV 2007']
011819.jpg,144,['Jaguar XK XKR 2012']
005859.jpg,73,['Chevrolet Malibu Sedan 2007']
006478.jpg,80,['Chrysler Crossfire Convertible 2008']
012589.jpg,153,['Lamborghini Diablo Coupe 2001']
000916.jpg,12,['Audi RS 4 Convertible 2008']
003784.jpg,47,['Buick Regal GS 2012']
000364.jpg,5,['Acura TSX Sedan 2012']
013335.jpg,163,['Mercedes-Benz SL-Class Coupe 2009']
006669.jpg,82,['Daewoo Nubira Wagon 2002']
014073.jpg,171,['Nissan 240SX Coupe 1998']
014721.jpg,179,['Spyker C8 Convertible 2009']
007822.jpg,96,['Dodge Charger Sedan 2012']
003902.jpg,49,['Buick Verano Sedan 2012']
006139.jpg,76,['Chrysler Aspen SUV 2009']
012217.jpg,149,['Jeep Compass SUV 2012']
009448.jpg,115,['Ford Focus Sedan 2007']
001410.jpg,18,['Audi 100 Wagon 1994']
009901.jpg,121,['GMC Acadia SUV 2012']
013244.jpg,162,['Mercedes-Benz C-Class Sedan 2012']
007031.jpg,86,['Dodge Ram Pickup 3500 Crew Cab 2010']
007743.jpg,95,['Dodge Durango SUV 2007']
008996.jpg,110,['Ford Edge SUV 2012']
008729.jpg,107,['Ford Mustang Convertible 2007']
000323.jpg,4,['Acura TL Type-S 2008']
013037.jpg,159,['Mazda Tribute SUV 2011']
014392.jpg,175,['Rolls-Royce Phantom Drophead Coupe Convertible 2012']
014949.jpg,182,['Suzuki Kizashi Sedan 2012']
005826.jpg,72,['Chevrolet Monte Carlo Coupe 2007']
011479.jpg,140,['Hyundai Azera Sedan 2012']
013796.jpg,168,['Nissan Leaf Hatchback 2012']
008624.jpg,106,['Ford F-450 Super Duty Crew Cab 2012']
002758.jpg,34,['BMW M3 Coupe 2012']
008227.jpg,101,['Ferrari FF Coupe 2012']
003431.jpg,43,['Bentley Continental GT Coupe 2007']
011756.jpg,143,['Isuzu Ascender SUV 2008']
011911.jpg,145,['Jeep Patriot SUV 2012']
008014.jpg,98,['Eagle Talon Hatchback 1998']
010947.jpg,133,['Hyundai Veracruz SUV 2012']
008661.jpg,106,['Ford F-450 Super Duty Crew Cab 2012']
000390.jpg,5,['Acura TSX Sedan 2012']
014610.jpg,178,['Scion xD Hatchback 2012']
013956.jpg,170,['Nissan Juke Hatchback 2012']
010828.jpg,131,['Hyundai Santa Fe SUV 2012']
007607.jpg,93,['Dodge Challenger SRT8 2011']
004598.jpg,57,['Chevrolet Corvette Ron Fellows Edition Z06 2007']
000713.jpg,9,['Aston Martin V8 Vantage Coupe 2012']
006759.jpg,83,['Dodge Caliber Wagon 2012']
010854.jpg,132,['Hyundai Tucson SUV 2012']
006571.jpg,81,['Chrysler PT Cruiser Convertible 2008']
013408.jpg,164,['Mercedes-Benz E-Class Sedan 2012']
011766.jpg,144,['Jaguar XK XKR 2012']
002099.jpg,26,['BMW ActiveHybrid 5 Sedan 2012']
009669.jpg,118,['GMC Terrain SUV 2012']
006829.jpg,84,['Dodge Caliber Wagon 2007']
009001.jpg,110,['Ford Edge SUV 2012']
013751.jpg,167,['Mitsubishi Lancer Sedan 2012']
009175.jpg,112,['Ford GT Coupe 2006']
014978.jpg,182,['Suzuki Kizashi Sedan 2012']
007760.jpg,95,['Dodge Durango SUV 2007']
015904.jpg,193,['Volvo C30 Hatchback 2012']
005206.jpg,65,['Chevrolet Avalanche Crew Cab 2012']
007033.jpg,86,['Dodge Ram Pickup 3500 Crew Cab 2010']
012838.jpg,156,['Lincoln Town Car Sedan 2011']
004774.jpg,59,['Chevrolet Camaro Convertible 2012']
015190.jpg,185,['Tesla Model S Sedan 2012']
006821.jpg,84,['Dodge Caliber Wagon 2007']
014109.jpg,172,['Plymouth Neon Coupe 1999']
001318.jpg,17,['Audi 100 Sedan 1994']
003507.jpg,44,['Bentley Continental Flying Spur Sedan 2007']
010368.jpg,126,['Honda Odyssey Minivan 2012']
007129.jpg,87,['Dodge Ram Pickup 3500 Quad Cab 2009']
005282.jpg,66,['Chevrolet Cobalt SS 2010']
004547.jpg,56,['Chevrolet Corvette ZR1 2012']
008843.jpg,108,['Ford Freestar Minivan 2007']
009528.jpg,116,['Ford E-Series Wagon Van 2012']
016107.jpg,196,['smart fortwo Convertible 2012']
003867.jpg,48,['Buick Rainier SUV 2007']
004048.jpg,51,['Cadillac CTS-V Sedan 2012']
004716.jpg,58,['Chevrolet Traverse SUV 2012']
009662.jpg,118,['GMC Terrain SUV 2012']
002425.jpg,30,['BMW 3 Series Wagon 2012']
012087.jpg,147,['Jeep Liberty SUV 2012']
004542.jpg,56,['Chevrolet Corvette ZR1 2012']
010789.jpg,131,['Hyundai Santa Fe SUV 2012']
006416.jpg,79,['Chrysler 300 SRT-8 2010']
007417.jpg,91,['Dodge Dakota Club Cab 2007']
009048.jpg,111,['Ford Ranger SuperCab 2011']
004336.jpg,54,['Chevrolet Silverado 1500 Hybrid Crew Cab 2012']
015908.jpg,193,['Volvo C30 Hatchback 2012']
001726.jpg,22,['Audi S5 Coupe 2012']
000077.jpg,1,['AM General Hummer SUV 2000']
005000.jpg,62,['Chevrolet Tahoe Hybrid SUV 2012']
006073.jpg,75,['Chevrolet Silverado 1500 Regular Cab 2012']
013164.jpg,161,['Mercedes-Benz 300-Class Convertible 1993']
015457.jpg,188,['Toyota Corolla Sedan 2012']
014816.jpg,180,['Spyker C8 Coupe 2009']
008457.jpg,104,['Ferrari 458 Italia Coupe 2012']
001164.jpg,15,['Audi R8 Coupe 2012']
007924.jpg,97,['Dodge Charger SRT-8 2009']
013624.jpg,166,['Mercedes-Benz Sprinter Van 2012']
013046.jpg,159,['Mazda Tribute SUV 2011']
005284.jpg,66,['Chevrolet Cobalt SS 2010']
010649.jpg,129,['Honda Accord Sedan 2012']
003173.jpg,39,['Bentley Continental Supersports Conv. Convertible 2012']
004924.jpg,61,['Chevrolet Impala Sedan 2007']
009478.jpg,116,['Ford E-Series Wagon Van 2012']
006126.jpg,76,['Chrysler Aspen SUV 2009']
015571.jpg,189,['Toyota 4Runner SUV 2012']
014691.jpg,179,['Spyker C8 Convertible 2009']
